2026-03-07T12:50:13 | DEBUG    | scrapers.http_client | HttpClient initialised (timeout=15s, max_retries=3, rate_limiter=RateLimiter(requests_per_second=0.5, min_interval=2.000s))
2026-03-07T12:50:13 | INFO     | scrapers.automotive_demo | Scraper 'automotive_demo' initialised — 2 URL(s) queued, rate=0.50 req/s
2026-03-07T12:50:13 | INFO     | scrapers.automotive_demo | Starting run — source='automotive_demo', 2 URL(s)
2026-03-07T12:50:13 | INFO     | scrapers.automotive_demo | Processing URL 1/2: https://www.caranddriver.com
2026-03-07T12:50:13 | INFO     | scrapers.automotive_demo | Fetching: https://www.caranddriver.com
2026-03-07T12:50:13 | INFO     | scrapers.http_client | GET https://www.caranddriver.com  (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64…)
2026-03-07T12:50:15 | INFO     | scrapers.http_client | GET https://www.caranddriver.com → 200 (803663 bytes)
2026-03-07T12:50:15 | INFO     | scrapers.automotive_demo | Fetched https://www.caranddriver.com — status=200, size=803581 chars
2026-03-07T12:50:16 | DEBUG    | scrapers.automotive_demo | Stored raw_page for https://www.caranddriver.com (hash=054ff27e891d8332…)
2026-03-07T12:50:16 | DEBUG    | scrapers.automotive_demo | Extracted title: Car and Driver: New Car Reviews, Buying Advice and News
2026-03-07T12:50:16 | INFO     | scrapers.automotive_demo | Parsed 1 record(s) from https://www.caranddriver.com
2026-03-07T12:50:16 | INFO     | scrapers.automotive_demo | Processing URL 2/2: https://www.autotrader.com
2026-03-07T12:50:16 | INFO     | scrapers.automotive_demo | Fetching: https://www.autotrader.com
2026-03-07T12:50:16 | INFO     | scrapers.http_client | GET https://www.autotrader.com  (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64…)
2026-03-07T12:50:17 | INFO     | scrapers.http_client | GET https://www.autotrader.com → 200 (3762 bytes)
2026-03-07T12:50:17 | INFO     | scrapers.automotive_demo | Fetched https://www.autotrader.com — status=200, size=3762 chars
2026-03-07T12:50:17 | DEBUG    | scrapers.automotive_demo | Stored raw_page for https://www.autotrader.com (hash=09bf6d4fa58cdf46…)
2026-03-07T12:50:17 | DEBUG    | scrapers.automotive_demo | Extracted title: Autotrader - page unavailable
2026-03-07T12:50:17 | INFO     | scrapers.automotive_demo | Parsed 1 record(s) from https://www.autotrader.com
2026-03-07T12:50:17 | INFO     | scrapers.automotive_demo | Run complete — 2 total records from 2 URL(s)
2026-03-07T12:50:17 | DEBUG    | scrapers.http_client | HttpClient session closed.
2026-03-07T12:50:37 | DEBUG    | scrapers.http_client | HttpClient initialised (timeout=15s, max_retries=3, rate_limiter=RateLimiter(requests_per_second=0.5, min_interval=2.000s))
2026-03-07T12:50:37 | INFO     | scrapers.automotive_demo | Scraper 'automotive_demo' initialised — 2 URL(s) queued, rate=0.50 req/s
2026-03-07T12:50:37 | INFO     | scrapers.automotive_demo | Starting run — source='automotive_demo', 2 URL(s)
2026-03-07T12:50:37 | INFO     | scrapers.automotive_demo | Processing URL 1/2: https://www.caranddriver.com
2026-03-07T12:50:37 | INFO     | scrapers.automotive_demo | Fetching: https://www.caranddriver.com
2026-03-07T12:50:37 | INFO     | scrapers.http_client | GET https://www.caranddriver.com  (UA: Mozilla/5.0 (Linux; Android 14; Pixel 8)…)
2026-03-07T12:50:38 | INFO     | scrapers.http_client | GET https://www.caranddriver.com → 200 (803663 bytes)
2026-03-07T12:50:38 | INFO     | scrapers.automotive_demo | Fetched https://www.caranddriver.com — status=200, size=803581 chars
2026-03-07T12:50:38 | DEBUG    | scrapers.automotive_demo | Stored raw_page for https://www.caranddriver.com (hash=054ff27e891d8332…)
2026-03-07T12:50:38 | DEBUG    | scrapers.automotive_demo | Extracted title: Car and Driver: New Car Reviews, Buying Advice and News
2026-03-07T12:50:38 | INFO     | scrapers.automotive_demo | Parsed 1 record(s) from https://www.caranddriver.com
2026-03-07T12:50:38 | INFO     | scrapers.automotive_demo | Processing URL 2/2: https://www.autotrader.com
2026-03-07T12:50:38 | INFO     | scrapers.automotive_demo | Fetching: https://www.autotrader.com
2026-03-07T12:50:38 | DEBUG    | scrapers.rate_limiter | Rate limiter sleeping 0.890 s (interval=2.000 s, elapsed=1.110 s)
2026-03-07T12:50:39 | INFO     | scrapers.http_client | GET https://www.autotrader.com  (UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 1…)
2026-03-07T12:50:40 | INFO     | scrapers.http_client | GET https://www.autotrader.com → 200 (3762 bytes)
2026-03-07T12:50:40 | INFO     | scrapers.automotive_demo | Fetched https://www.autotrader.com — status=200, size=3762 chars
2026-03-07T12:50:40 | DEBUG    | scrapers.automotive_demo | Stored raw_page for https://www.autotrader.com (hash=d0317c0faa6fe29e…)
2026-03-07T12:50:40 | DEBUG    | scrapers.automotive_demo | Extracted title: Autotrader - page unavailable
